Title,TMDb_id,IMDb_id,Release Date,Synopsis Short,Synopsis Long,Language,Status,Budget,RT Rating,Metascore,IMDb Rating,IMDb Votes,DVD Date,Box Office,Genre IDs
The Price,426240,tt3212026,2017-11-10,"A young Nigerian-American financier struggles with love, family, and a prescription drug dependency as his ambitions steer him down a criminal path.","Seyi, a 24-year-old Nigerian-American, works on Wall Street. Desperate to succeed because of his outsider status-due to class and race-he commits a crime, insider trading, which brings his entire world crashing down on him. Seyi's troubled circumstances force him finally to confront his tumultuous relationship with his ailing father, his romantic relationship with his privileged white girlfriend, and his racial and immigrant backgrounds-with nothing less at stake for him than his soul.",en,Released,0,75%,61,4.7,123,28 Nov 2017,N/A,"[80, 18]"
Kill Order,487620,tt3847642,2017-11-06,A troubled high school student discovers the truth behind his hidden abilities.,A troubled high school student discovers the truth behind his hidden abilities.,en,Released,0,,N/A,4.2,446,N/A,N/A,"[878, 28]"
Ratburger,494566,tt7136060,2017-12-24,"A girl rescues a rat, which the malevolent burgerman wants to make into a burger and sell to the local school children and people.","A girl rescues a rat, which the malevolent burgerman wants to make into a burger and sell to the local school children and people.",en,Released,0,,N/A,5.6,211,N/A,N/A,"[12, 35, 10751]"
The Quacky Slasher,477466,tt6997672,2017-12-01,,"Michael Quackers has spent 20 years in a psychiatric ward. Returning home to fight the criminal underbelly of his town, Michael must become the one thing that scares him most if he is to succeed. He must become - A duck.",en,Released,0,,,,,,,[]
A man for every month,526266,tt6604438,2017-11-16,,An shy writer has to go out on a date with a different man every month in order to write an article for her company's 'Man for Every Month' blog.,en,Released,0,,,,,,,"[10749, 10751]"
The Manual,492631,tt6173346,2017-12-02,,"In a dystopian future, the last human is raised by a machine. He struggles with the loneliness of no human interaction and questions the teachings of a mysterious religious 'Manual' which the machine claims is holy.",en,Released,0,,,,,,,[878]
You Can't Fight Christmas,488971,tt7281472,2017-11-01,Christmas designer Leslie Major (Brely Evans) is the biggest fan of Christmas ever. She is like a tidal wave of Yuletide cheer. Her biggest job every year is decorating the lobby of the ...,"Christmas designer Leslie Major (Brely Evans) is the biggest fan of Christmas ever. She is like a tidal wave of Yuletide cheer. Her biggest job every year is decorating the lobby of the famed Chesterton Hotel. As she is on a ladder decorating the tree, she falls into the arms of Edmund James (Andra Fuller) - the grandson of the owner JJ James. Edmund is all business and thinks Christmas is superficial and frivolous.",en,Released,0,,N/A,4.6,184,N/A,N/A,[35]
Blood Prism,507097,tt6130118,2017-12-17,"A successful artist and local art museum coordinator (""Cecilia"") hears voices telling her to release 'troubled"" individuals from this earth and into the serenity of the afterlife. Cecilia, ...","A successful art gallery coordinator, living a double life as a serial killer, preys on the hopeless as she attempts to find meaning behind the voices she hears. When she believes she is falling in love with a depressed comic book artist; she struggles between what her heart is telling her to do about him... and what the voices are telling her to do about him.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,"[18, 27, 53]"
The Beyond,449575,tt5723416,2017-11-17,"Set in 2019, The Beyond chronicles the groundbreaking mission which sent astronauts - modified with advanced robotics, through a newly discovered wormhole known as the Void. When the ...","Set in 2019, The Beyond chronicles the groundbreaking mission which sent astronauts - modified with advanced robotics, through a newly discovered wormhole known as the Void. When the mission returns unexpectedly, the space agency races to discover what the astronauts encountered on their first of its kind interstellar space journey.",en,Released,0,,N/A,4.8,"1,923",N/A,N/A,[878]
Miss Me This Christmas,488969,tt7281126,2017-11-01,"Regina (Erica Ash) and Franklin (Redaric Williams) are seemingly the perfect couple, the toast of all their friends and married on Christmas Day six years ago at the famed Chesterton Hotel....","Regina (Erica Ash) and Franklin (Redaric Williams) are seemingly the perfect couple, the toast of all their friends and married on Christmas Day six years ago at the famed Chesterton Hotel. At Thanksgiving, they have a huge fight and trusts are broken -- they decide to divorce. Their divorce will be final on Christmas Day. Regina decides to move in to her best friend Trish's (Eva Marcille) suite at The Chesterton Hotel.",en,Released,0,,N/A,4.3,162,N/A,N/A,[35]
Colao,495056,tt6390756,2017-11-30,"A coffee grower, single at almost 40, goes to the city in search of the only thing lacking in his life: love.","A coffee grower, still single at 40, decides to finally start his search for love by going to the capital city on the Dominican Republic.",en,Released,2,,N/A,7.5,118,N/A,N/A,[35]
The Litch,479459,tt5634336,2017-12-01,N/A,"An undead zombie wizard known as ""The Litch"" is hell-bent on devouring his victims and possessing the weak when his sacred crystal is stolen by a small-time crook and his crew of big-breasted witches. The Litch uses its power to transform into slimy mutant creatures, spilling gallons of blood from his victims on his quest to retrieve the crystal in order to rule the four worlds.",en,Released,80000,,N/A,N/A,N/A,N/A,N/A,[27]
Once Upon a Time at Christmas,489420,tt6172696,2017-11-26,"Santa and Mrs. Clause go on a killing spree in Woodbridge, 12 days prior to Christmas.","In the twelve days leading up to Christmas, the residents of the snowy and isolated town of Woodridge are being murdered in a variety of gruesome ways by a psychotic Santa and Mrs. Claus. While the small-town cops scramble to protect the townsfolk, the killings seem to center around one young woman who may be the final victim on Santa's list. As the slaughter continues and the bodies pile up, it seems that nothing and no one may be able to stop the murderers before they complete their own deadly take on the twelve days of Christmas.",en,Released,0,,N/A,3.4,219,12 Dec 2017,N/A,[27]
Christmas Princess,492335,tt7207076,2017-12-13,"Against the backdrop of Christmas in Southern California comes Christmas Princess, a heart-warming story inspired by true events about one brave high school girl who overcomes her difficult...","Against the backdrop of Christmas in Southern California comes Christmas Princess, a heart-warming story inspired by true events about one brave high school girl who overcomes her difficult past to become one of the elite princesses in the world-renowned royal court of the Tournament of Rose Parade presented by Honda",en,Released,1250000,,N/A,6.1,75,N/A,N/A,[]
The Legend of 420,490299,tt7027566,2017-12-01,A comedy documentary outlining the progression of the ever growing cannabis industry.,"This ifilm is a new documentary that explores the controversial use of marijuana and the evolution of mainstream society. From a dangerous narcotic, listed as a Schedule 1 Drug substance since the 1970s, to the rush to decriminalize it today. What has changed and why? What will the cannabis industry look like in five years? Will it retain its integrity as a homegrown industry or be co-opted by Big Business? Experts, growers, celebrities and politicians weigh in on the future of Cannabusiness",en,Released,0,100%,N/A,6.5,230,03 Oct 2017,N/A,[]
Shutout,511162,tt7380492,2017-11-09,"Washed-up pitcher, Jeff ""The Heater"" Sanderson, returns to his home town when he is released from the big leagues. After a failed attempt to reconnect with the family he once left behind, ...","Washed-up pitcher, Jeff ""The Heater"" Sanderson, returns to his home town when he is released from the big leagues. After a failed attempt to reconnect with the family he once left behind, Jeff joins forces with an old friend to rebuild his childhood hardball team to relive the glory days. When the opportunity arises to gain custody of his son by challenging a local baseball team, Jeff eagerly wrangles his old acquaintances to whip them into shape and compete in one final game.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,[18]
The Lost Wife of Robert Durst,479309,tt6920766,2017-11-04,"Young and wide-eyed, Kathie falls in love with charming yet quirky real estate scion Robert Durst, only to find their marriage turning stranger, darker and more disturbing as time passes.","Young and wide-eyed, Kathie falls in love with charming yet quirky real estate scion Robert Durst, only to find their marriage turning stranger, darker and more disturbing as time passes.",en,Released,0,,N/A,6.1,156,N/A,N/A,"[18, 36, 80, 53]"
Clean Colored Wire,456913,tt6032724,2017-12-31,"A critic gets caught up in a strange mystery of parallel universes when he attends an advance screening of a film entitled ""The Most Important Film Ever Made"".","A critic gets caught up in a strange mystery of parallel universes when he attends an advance screening of a film entitled ""The Most Important Film Ever Made"".",en,Released,0,,N/A,7.5,14,N/A,N/A,"[27, 53]"
Amanda & Jack Go Glamping,466421,tt5578150,2017-11-10,"With his marriage and career against the ropes, dejected author Jack Spencer travels with his wife, Amanda, to an isolated glamping retreat in search of a spark. When a surprise double ...","With his marriage and career against the ropes, dejected author Jack Spencer travels with his wife, Amanda, to an isolated glamping retreat in search of a spark. When a surprise double booking finds their private retreat anything but private, Jack spins into a comedic exploration of love, lost dreams, small-town-wisdom, and friendship with a miniature donkey to get over himself before he loses all he holds dear.",en,Released,0,40%,36,4.5,329,10 Nov 2017,N/A,"[10749, 35, 18]"
Psycho Brother-In-Law,514991,tt7812828,2017-12-28,Kate is so thankful to have her brother-in-law David back in her family's life as he's been a blessing around the house while her husband spends long days at the office. But when his ...,"Kate is so grateful to have her brother by marriage David back in her family's life as he's been a gift around the house while her better half spends long days at the workplace. However, when his conduct begins escaping line, Kate understands that David needs to be the new leader of the family, and will effectively get that going.",en,Released,0,,N/A,5.6,96,N/A,N/A,[]
Tombiruo,485303,tt4568478,2017-12-10,"Tombiruo is a troubled young man, deformed, dutiful and burdened with powers that do not bend to his will. The tragic death of his father causes Tombiruo to seek revenge and punish those responsible.","Tombiruo is a troubled young man, deformed, dutiful and burdened with powers that do not bend to his will. The tragic death of his father causes Tombiruo to seek revenge and punish those responsible.",en,Released,0,,N/A,8.3,280,N/A,N/A,"[28, 18]"
The Viper's Hex,488008,tt5982964,2017-11-25,"Kiyo, a cursed hostess falls pregnant to Anchin. After learning the news, he flees Tokyo leaving her heartbroken. Kiyo, now alone turns to someone who has been with her since birth - A vengeful spirit known only as ""The Viper""","Lonely hostess Kiyo spends her days propositioning men on the cold streets of Tokyo and being beaten by her violent pimp, Tetsuya. One day her luck seems to change when she meets a charming foreigner named Anchin and a romance blossoms but soon everything falls apart when she becomes pregnant. Upon hearing the news Anchin flees Tokyo. With nowhere left to go she turns to The Viper, a scorned spirit that has been with her since birth.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,"[18, 27]"
Haunted Forest,495094,tt7248324,2017-12-25,"A murder cryptomnesia, a quest, a disturbing encounter.","A murder cryptomnesia, a quest, a disturbing encounter.",en,Released,0,,N/A,4.2,24,N/A,N/A,[]
Buckout Road,467615,tt4847454,2017-11-24,"A college class project on creation and destruction of modern myth, turns terrifying when a trio of young people come to realize the urban legends surrounding the famed Buckout Road may, in fact, be REAL.","A college class project on creation and destruction of modern myth, turns terrifying when a trio of young people come to realize the urban legends surrounding the famed Buckout Road may, in fact, be REAL.",en,Released,0,,N/A,5.8,13,N/A,N/A,[27]
The Spruces and the Pines,487055,tt6764496,2017-12-03,"A Romeo and Juliet romance takes place among two feuding New England Christmas Tree lot families. Against their families' wills, Julie Pine and visiting-from-Texas, Rick Spruce, fall in ...","A Romeo and Juliet romance takes place among two feuding New England Christmas Tree lot families. Against their families’ wills, Julie Pine and visiting-from-Texas, Rick Spruce, fall in love, but are forced to hide their Yuletide relationship.",en,Released,0,,N/A,5.9,218,N/A,N/A,"[18, 10749]"
Friends Don't Let Friends,487428,tt3561204,2017-11-28,A violent breakup leaves one man dead and a group of friends dispatched into the desert to dispose of the evidence. Friendships are tested as the group push the boundaries of what can be done in the name of being there for a friend.,A violent breakup leaves one man dead and a group of friends dispatched into the desert to dispose of the evidence. Friendships are tested as the group push the boundaries of what can be done in the name of being there for a friend.,en,Released,0,,N/A,4.2,91,N/A,N/A,"[53, 27]"
Maigret in Montmartre,516819,tt6429934,2017-12-24,Maigret investigates the random murders of a Countess and a showgirl and discovers a dark secret that links their past lives at the Grand Hotel in Nice.,Maigret investigates the random murders of a Countess and a showgirl and discovers a dark secret that links their past lives at the Grand Hotel in Nice.,en,Released,0,,N/A,6.9,"1,201",N/A,N/A,"[18, 80, 9648]"
Mercy Christmas,423383,tt4906164,2017-11-28,"When Michael Briskett meets the perfect woman, his ideal Christmas dream comes true when she invites him to her family's holiday celebration. Dreams shattered, Michael struggles to survive once he realizes HE will be Christmas dinner.","When Michael Briskett meets the perfect woman, his ideal Christmas dream comes true when she invites him to her family's holiday celebration. Dreams shattered, Michael struggles to survive once he realizes HE will be Christmas dinner.",en,Released,0,,N/A,4.9,185,N/A,N/A,"[28, 27, 35]"
A Horrible Woman,480536,tt6286796,2017-12-25,"When Rasmus meets Marie, he is certain that she is the love of his life. However, it doesn't take long before it turns out she is a possessive and manipulative being, that cunningly dissects Rasmus to pieces.","When Rasmus meets Marie, he is certain that she is the love of his life. However, it doesn't take long before it turns out she is a possessive and manipulative being, that cunningly dissects Rasmus to pieces.",en,Released,0,,N/A,7.0,405,N/A,N/A,[18]
The Doll,491459,tt5176832,2017-12-08,"When Chris and Andy order a model from an escort service, they find that something is unnaturally wrong with Natasha, something deadly wrong.","When Chris and Andy order a model from an escort service, they find that something is unnaturally wrong with Natasha, something deadly wrong.",en,Released,0,,N/A,2.7,159,N/A,N/A,[27]
The Adventures of Selika,491565,tt6926416,2017-12-09,"""The Adventures of Selika,"" tells the story of a young African princess, who displaced by war, is sent to be raised by a noble family mid-19th Century France. When Selika is forced from the...",In 1861 Selika a young African woman brought up by a noble French family is forced from her comfortable life. Alone she sets out to gain her independence.,en,Released,0,,N/A,N/A,N/A,N/A,N/A,[18]
Active Adults,414782,tt5460416,2017-11-21,Malcolm and Lily try to start their lives as they watch Malcolm's grandparents' fall apart.,Malcolm and Lily try to start their lives as they watch Malcolm's grandparents' fall apart.,en,Released,0,,N/A,8.4,19,N/A,N/A,"[18, 35]"
My Brother the Time Traveler,493282,tt6436270,2017-12-02,Two estranged brothers try to reconnect at Christmas but there's something that one of them can't get past...the other think's he's a time traveler.,Two estranged brothers try to reconnect at Christmas but there's something that one of them can't get past...the other think's he's a time traveler.,en,Released,0,,N/A,8.8,18,N/A,N/A,"[35, 10751]"
Web Cam Girls,495305,tt6772926,2017-12-30,"When Alex Hiles' hot mess cousin Carolyn vanishes, Alex suspects the worst...Carolyn has been ""camming"" lately, and Alex suspects she broke the rules and met one of her clients...No one ...","When Alex Hiles' hot mess cousin Carolyn vanishes, Alex suspects the worst...Carolyn has been ""camming"" lately, and Alex suspects she broke the rules and met one of her clients...No one believes her and it's now up to Alex to track and face the predator that kidnaps Cam Girls.",en,Released,0,,N/A,5.2,133,N/A,N/A,[]
FrankenThug,512736,tt7290236,2017-12-31,"THOT's, Thugs and T.H.C. It's just another day in the hood; until, a new gang rolls into town and shoots up the wrong G. Now, after a botched science experiment, a FrankenThug has risen to ...","THOT's, Thugs, and THC. Its just another day in the hood until a new gang rolls into town and shoots up the wrong G. Now, after a botched science experiment, a FrankenThung has risen to seek revenge on the gang that killed him.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,[27]
Enter The Wild,527427,,2018-01-01,,Is it about a creature in the wild.,en,Released,0,,,,,,,[27]
Green River: Part Two,523853,tt6403078,2017-12-31,"1984. Small town USA. 40 women are dead. Troubled by the death of her close friend, Rebecca's grief quickly manifests into a morbid series of encounters and uninvited guests.","Small town USA. 40 women are dead. Troubled by the death of her close friend, Rebecca’s grief quickly manifests into a morbid series of encounters and uninvited guests.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,"[18, 9648]"
Hippopotamus,516027,tt7120602,2017-12-08,"Ruby wakes from a bad dream to find herself in a real life nightmare. She's trapped in a basement, her legs are broken and she can't remember who she is or how she got there. Her kidnapper,...","Ruby wakes from a bad dream to find herself in a real life nightmare. She's trapped in a basement, her legs are broken and she can't remember who she is or how she got there. Her kidnapper, Tom, tells her she will remain captive until she falls in love with him. Ruby is focused on trying to escape until Tom starts helping her to remember her past and she begins to question everything.",en,Released,7000,,N/A,N/A,N/A,N/A,N/A,[27]
Dhairyam,493996,tt6737944,2017-12-21,Dhairyam movie is about Ajay (Ajay Rao) a state level rank student who comes from a lower middle class back ground is always in financial crunch.,,en,Released,0,,N/A,8.3,76,N/A,N/A,[]
Grandpa's Great Escape,495737,tt7410922,2018-01-01,"A boy decides to help his Grandpa, a WW2 flying ace who now suffers from Alzheimer's disease, escape from an old folks' home run by a woman with ulterior motives.","Many years ago, Grandpa was a World War II flying ace, but sadly he is now suffering from Alzheimer's disease. When his family can no longer look after him, he is moved to Twilight Towers, an old people's home. It soon becomes clear that Miss Dandy is running Twilight Towers for her own ulterior motives, and it is up to Grandpa and grandson Jack to make a daring escape. Failure could have the direst of consequences, but success will give Grandpa a final chance to relive his past and take to the sky once again in his beloved Spitfire.",en,Released,0,,N/A,6.9,233,N/A,N/A,"[10752, 12, 35, 18, 10751]"
A Christmas Cruise,488925,tt7396738,2017-12-16,"When her best friend invites her along on a holiday-themed sail, an aspiring novelist unexpectedly finds the love of her life onboard.","When her best friend invites her along for a holiday themed sail, an aspiring novelist, Pam, unexpectedly finds the love of her life on board. But what will happen when the ship returns to port for Christmas?",en,Released,0,,N/A,5.9,25,N/A,N/A,[10749]
Scramble,494682,tt3652978,2017-12-26,"When his girlfriend is kidnapped by an underground prostitution ring, Frank and his buddy Simon borrow ransom money and must go on a series of quests confronting ruthless Asian gangsters and delivering dead bodies.","When his girlfriend is kidnapped by an underground prostitution ring, a neighborhood loser clashes with a pimp, Asian gangsters, and renegade killers.",en,Released,0,,N/A,2.8,137,N/A,N/A,"[28, 35, 80]"
Blood Circus,493621,tt4247828,2017-12-19,"A retired MMA world champion gets caught up in an underground fight club called the ""Blood Circus"" and must fight to survive and save his family.","A retired MMA world champion gets caught up in an underground fight club called the ""Blood Circus"" and must fight to survive and save his family.",en,Released,0,,N/A,5.0,65,N/A,N/A,[28]
The Jester: Chapter 2,494483,,2017-12-05,,The Jester returns in this sequel short film to continue to spread his Halloween cheer.,en,Released,0,,,,,,,[27]
Wedding Wonderland,480919,tt6364638,2017-12-25,"When family conflicts arise between happy couple Hallie and Lucas on the week before their big day, their plans for a breezy wedding in the tropics take a turn and their love is tested when...","When family conflicts arise between happy couple Hallie and Lucas on the week before their big day, their plans for a breezy wedding in the tropics take a turn and their love is tested when they are forced to put on a small town winter wedding in the snow.",en,Released,0,,N/A,5.1,105,N/A,N/A,[10749]
Scarecrows,488342,tt5283288,2017-11-22,Teenagers are kidnapped and made into scarecrows that are left to die in the crop fields.,"Teenagers are kidnapped and made into scarecrows, that are left to die in the crop fields.",en,Released,0,,N/A,4.0,124,N/A,N/A,[27]
First House on the Hill,483584,tt5727136,2017-11-26,Four friends decide to spend a week end in a Malibu mansion owned by an old lady. The situation is flipped upside down once they come across an ancient haunted tarot deck that will change the fate of their lives.,Four friends decide to spend a weekend in a Malibu mansion owned by an old lady. The situation is flipped upside down once they come across an ancient haunted tarot deck that will change the fate of their lives.,en,Released,0,,N/A,N/A,N/A,N/A,N/A,[]
Sur'vi,469098,tt7245882,2017-11-11,"In a nomadic society, a woman must take an orphaned young girl to safety while defending themselves from a treacherous band of marauders.","In a nomadic society, a woman must take an orphaned young girl to safety while defending themselves from a treacherous band of marauders.",en,Released,5315,,N/A,N/A,N/A,N/A,N/A,[14]
Rose Is a Rose Is a Rose,515631,tt7402350,2017-12-17,"Computer illiterate, Davy Ludd, is dragged into the 21st century by his young co-worker Jake, in a meandering quest to find his long lost sweetheart.","Computer illiterate, Davy Ludd, is dragged into the 21st century by his young co-worker Jake, in a meandering quest to find his long lost sweetheart.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,[35]
Waxhouse Rock,470757,tt7251964,2017-11-02,"A film crew breaks into a wax museum to secretly shoot a film. But by disturbing the waxworks at night they awaken Wax Elvis, Marilyn Monroe and Bettie Page which in turn terrorize the city of Manchester.",A film crew enters a wax museum at night to secretly film a porn parody of House of Wax. By disturbing the displays at night Wax Elvis and Bettie Page come to live to terrorise Manchester and murder innocent citizens.,en,Released,0,,N/A,N/A,N/A,N/A,N/A,"[9648, 27, 35]"
Vore,484561,tt6874082,2017-11-10,"When her younger lover announces his departure, a wealthy, sexually adventurous, yet unfulfilled woman finally realizes what she needs to be satisfied, but this revelations turns out to be a little hard to digest.","When her younger lover announces his departure, a wealthy, sexually adventurous, yet unfulfilled woman finally realizes what she needs to be satisfied, but this revelation turns out to be a little hard to digest.",en,Released,0,,N/A,7.3,6,N/A,N/A,"[18, 27]"
Magic Kimono,496479,tt4437544,2017-12-01,N/A,"Japanese woman Keiko (played by Kaori Momoi (Marshall's ""Memoirs of a Geisha"", Miike's ""Sukiyaki Western Django"")) has been living in a shelf for decades due to a family tragedy in Kobe and is not able to bid farewell to her past. Without a passion she joins a group of Japanese women traveling to Northern Europe to participate in a kimono show. Unintentionally Keiko has been pulled in a vortex of events making her as a local celebrity. Confusion and despair turns to self-confidence until Keiko comes face to face with her mysterious and almost otherworldly-like husband (played by Issey Ogata (Scorsese's ""Silence"", Sokurov's ""The Sun"")) who disappeared twenty years ago.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,[]
Stirring,516834,tt6169934,2018-01-01,Students attending a Christmas party at a sorority house with a sinister past are stalked by a bloodthirsty killer disguised as Mrs. Claus.,Students attending a Christmas party at a sorority house with a sinister past are stalked by a bloodthirsty killer disguised as Mrs. Claus.,en,Released,10000,,N/A,9.0,21,N/A,N/A,[27]
The Finish Line,487180,tt7226624,2017-11-04,A Down syndrome boy befriends a reluctant bereaved man in a wheelchair as they relate through their disabilities.,A Down syndrome boy befriends a reluctant bereaved man in a wheelchair as they relate through their disabilities. Jameson First Shot short film starring Dominic West.,en,Released,0,,N/A,N/A,N/A,N/A,N/A,[18]
Five Star Fouad,487178,tt7238440,2017-11-04,N/A,Jameson First Shot short film starring Dominic West.,en,Released,0,,N/A,7.6,5,N/A,N/A,[28]
Christmas in the Heartland,485612,tt3396114,2017-11-14,"Kara and Jessie are two teenager girls from very different worlds, but with a little Christmas magic, they find they have much more in common than they ever imagined.","Kara and Jessie are two teenage girls from very different worlds, but with a little Christmas magic, they find they have much more in common than they ever imagined.",en,Released,0,,N/A,8.7,39,N/A,N/A,[10751]
Surviving Home,512072,tt3480136,2017-11-11,"Moved to action by a shocking incident in their neighborhood, a husband and wife embark on a five year journey across the United States. Matt and Jillian meet with military veterans of ...","They survived war, yet over the years, U.S. military veterans from four generations must find their own unique bridge of connection in order to survive and thrive back home.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,[]
Newly Single,485341,tt5515814,2017-11-27,N/A,"On the heels of booking a life-changing motion picture, a film director drives away his girlfriend and aggressively re-enters the LA dating scene.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,[]
Gangster Land,485337,tt7241654,2017-12-01,"A very high level and brief history of how ""Machine Gun Jack McGurn"" rose from amateur boxer to second in command of Al Capone's criminal empire.","The story of America's most famous mobsters and their rise to power. Examine Al Capone's ascension through the eyes of his second in command, “Machine Gun” Jack McGurn.",en,Released,0,0%,N/A,4.6,760,16 Jan 2018,N/A,"[53, 80]"
Leaf Blower Massacre 2,526208,tt3013216,2017-11-17,"After finding out about the brutal murder of his fiancé, Shavar seeks revenge against a masked killer with a penchant for yard work weaponry. Fall will be the season of fear.","After finding out about the brutal murder of his fiancé, Shavar seeks revenge against a masked killer with a penchant for yard work weaponry. Fall will be the season of fear.",en,Released,0,,N/A,7.8,6,N/A,N/A,"[27, 35]"
Accident,441762,tt3313054,2017-12-01,A group of teenagers suffer a terrible accident during a joy ride and get trapped at the bottom of a ravine.,A group of teenagers suffer a terrible accident during a joy ride and get trapped at the bottom of a ravine.,en,Released,0,,N/A,3.4,413,N/A,N/A,"[53, 28]"
Huisvrouwen bestaan niet,489842,tt5912150,2017-12-21,"Two modern women and their free-spirited mother struggle to balance their private, professional and family lives.","Two modern women and their free-spirited mother struggle to balance their private, professional and family lives.",en,Released,0,,N/A,6.7,238,N/A,N/A,[35]
All the Wild Horses,471720,tt2636480,2017-11-30,"All The Wild Horses documents the Mongol Derby horse race, the longest and toughest horse race in the world, and easily the most epic and dangerous, as it leads through 650 miles of Mongolian steppe, desert and mountain ranges.","All The Wild Horses documents the Mongol Derby horse race, the longest and toughest horse race in the world, and easily the most epic and dangerous, as it leads through 650 miles of Mongolian steppe, desert and mountain ranges.",en,Released,0,100%,N/A,9.0,9,N/A,N/A,[]
Ah Boys to Men 4,484938,tt7469978,2017-11-09,"After leaving the military, Lobang, Wayang King, Sergeant Ong, and Ken Chow are all busy with their respective career as civilians. That's until they are called back to serve the nation ...","The fourth addition to the franchise sees the return of the army boys including Sergeant Ong, Lobang, Ken Chow and Aloysius, joined by a new female officer, as they are called back for in-camp training under the Armoured Formation of the Singapore Armed Forces. Hilarious situations happen when they are back training together and their military roles reversed. Their brotherhood is also put to the test when new enemy threats arise.",en,Released,0,,N/A,5.3,111,N/A,N/A,"[28, 35, 36]"
The Butterfly Tree,429762,tt3719948,2017-11-23,"Evelyn, an ex-burlesque queen, bewitches single dad Al and his teenage son Fin with her zest for life. When father and son discover they are competing for the affections of the same woman, ...","Evelyn, an ex-burlesque queen, bewitches single dad Al and his teenage son Fin with her zest for life. When father and son discover they are competing for the affections of the same woman, it reopens old wounds over the death of Fin's mother.",en,Released,3000000,50%,N/A,5.1,187,N/A,N/A,[18]
6:66 PM,488366,tt5288646,2017-11-04,A reality TV crew's staged investigation into the paranormal becomes terrifyingly real when the house they're exploring turns out to be haunted by the ghost of a serial killer.,A reality TV crew's staged investigation into the paranormal becomes terrifyingly real when the house they're exploring turns out to be haunted by the ghost of a serial killer.,en,Released,0,,N/A,6.4,747,07 Nov 2017,N/A,"[35, 27]"
Avenge the Crows: The Legend of Loca,488379,tt5898630,2017-12-05,"On the streets of LA, old wounds ignite revenge for an ex gang member and her young cousin.","A former gang member and her young cousin become embroiled in a vendetta between L.A. gangs, as rivals seek revenge for old crimes.",en,Released,0,,N/A,5.3,121,N/A,N/A,"[53, 80, 18]"
The Heights,493953,tt6523916,2017-12-11,A promising musical duo tries to avoid a meltdown before the biggest show of their career.,A promising musical duo tries to avoid a meltdown before the biggest show of their career.,en,Released,0,,N/A,7.4,7,N/A,N/A,[]
Closer Than We Think,490111,tt5652518,2017-12-09,A documentary about the art and life of futurist imagineer Arthur Radebaugh.,A documentary about the art and life of futurist imagineer Arthur Radebaugh.,en,Released,0,,N/A,N/A,N/A,N/A,N/A,[]
The Highway Rat,494603,tt7546096,2017-12-25,A greedy rat travels the highway in search of other animals' food.,A greedy rat travels the highway in search of other animals' food.,en,Released,0,,N/A,6.5,101,N/A,N/A,"[10751, 16]"
Tiny Mammals,519479,tt5503768,2017-11-05,"On a stormy day, 12-year-old twins Sophia and Jacob set out to hawk special bibles, only to be left to fend for themselves when their trailer park is evacuated.","On a stormy day, 12-year-old twins Sophia and Jacob set out to hawk special bibles, only to be left to fend for themselves when their trailer park is evacuated.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,"[18, 14]"
Instrument of War,480048,tt7078004,2017-11-23,"When U.S. B-24 bomber pilot Clair Cline is shot down and captured in northern Germany, one war ends and another begins -- to keep hope alive. Now behind Nazi barbed wire and oppression, ...","When U.S. B-24 bomber pilot Clair Cline is shot down and captured in northern Germany, one war ends and another begins -- to keep hope alive. Now behind Nazi barbed wire and oppression, Cline and his fellow POW's must find a way to bond together to not just survive but transcend their captivity. Inspired by true events.",en,Released,0,,N/A,6.2,225,N/A,N/A,"[10752, 18]"
Maternal Instinct,488023,tt6357086,2017-11-17,N/A,"A teenage girl who sees her mother shot goes into hiding with a police detective who grows attached to her as she protects her from the killer who is hunting the girl. Laura Mennell, Karin Konoval, Marcus Rosner star.",en,Released,800000,,N/A,5.3,6,N/A,N/A,[80]
Green River: Part One,523726,tt6363856,2017-12-30,"1984. Small town USA. 30 women are missing. Troubled by a recurring nightmare, Ellen is determined to save the woman she's dreamt about; a woman she's yet to meet.","1984. Small town USA. 30 women are missing. Troubled by a recurring nightmare, Ellen is determined to save the woman she's dreamt about; a woman she's yet to meet.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,"[18, 9648]"
Soldiers Of The Damned,345287,tt2396671,2017-12-07,An evil secret awaits.,"WWII German soldiers take an occult scientist into a haunted forest in Romania, only to be confronted by their own ghosts.",en,Released,0,,N/A,3.7,462,N/A,N/A,"[27, 10752, 28, 53]"
